Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
YBB4313,9231,Rendah,PPD BARAM,SK LONG BEDIAN,D/A PEJABAT PELAJARAN DAERAH KECIL BARAM,98050,MARUDI,SARAWAK,85773101,TIADA,,,,,"SK LONG BEDIAN, D/A PEJABAT PELAJARAN DAERAH KECIL BARAM, 98050, MARUDI, SARAWAK"
YBB4314,9232,Rendah,PPD BARAM,SK LONG ANAP,SK LONG ANAP, D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,132860076,TIADA,,,,"SK LONG ANAP, SK LONG ANAP,  D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI"
YBB4315,9233,Rendah,PPD BARAM,SK LIO MATO,D/A PEJABAT PENDIDIKAN DAERAH BARAM,,98050,MARUDI,SARAWAK,TIADA,TIADA,,,,"SK LIO MATO, D/A PEJABAT PENDIDIKAN DAERAH BARAM, 98050, MARUDI"
YBB4316,9234,Rendah,PPD BARAM,SK LONG BEMANG,LONG BEMANG,98050,MARUDI,SARAWAK,,TIADA,,,,,"SK LONG BEMANG, LONG BEMANG, 98050, MARUDI, SARAWAK"
YBB4317,9235,Rendah,PPD BARAM,SK LONG JEGAN,D/A PEJABAT PELAJARAN DAERAH BARAM.,98050,MARUDI,SARAWAK,128508141,TIADA,,,,,"SK LONG JEGAN, D/A PEJABAT PELAJARAN DAERAH BARAM., 98050, MARUDI, SARAWAK"
YBB4319,9236,Rendah,PPD BARAM,SK LONG ATIP,SK LONG ATIP, D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,019-8053725,TIADA,,,,"SK LONG ATIP, SK LONG ATIP,  D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI"
YBB4320,9237,Rendah,PPD BARAM,SK MOREK,D/A PEJABAT PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,13860058,TIADA,,,,,"SK MOREK, D/A PEJABAT PELAJARAN DAERAH BARAM, 98050, MARUDI, SARAWAK"
YBB4321,9238,Rendah,PPD MIRI,SK SG. ENTULANG,D/A PEJABAT PELAJARAN DAERAH MIRI,98000,MIRI,SARAWAK,TIADA,TIADA,,,,,"SK SG. ENTULANG, D/A PEJABAT PELAJARAN DAERAH MIRI, 98000, MIRI, SARAWAK"
YBB4322,9239,Rendah,PPD BARAM,SK UBONG IMANG,SK. UBONG IMANG, d/a PEJ.PELAJARAN DAERAH BARAM,98050,MARUDI,SARAWAK,85771328,85771328,,,,"SK UBONG IMANG, SK. UBONG IMANG,  d/a PEJ.PELAJARAN DAERAH BARAM, 98050, MARUDI"
YBB4323,9240,Rendah,PPD MIRI,SK SG. LIAM,D/A PEJABAT PENDIDIKAN DAERAH MIRI,98000,MIRI,SARAWAK,178561994,TIADA,,,,,"SK SG. LIAM, D/A PEJABAT PENDIDIKAN DAERAH MIRI, 98000, MIRI, SARAWAK"
