Kod Sekolah,Bil,Peringkat Sekolah,PPD,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Alamat
ABA0001,1,Rendah,PPD BATANG PADANG,SK TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,PERAK,54011341,54010387,,,,,"SK TOH TANDEWA SAKTI, JALAN KELAB, 35000, TAPAH, PERAK"
ABA0002,2,Rendah,PPD BATANG PADANG,SK PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,PERAK,54182740,54182740,,,,,"SK PENDITA ZA'BA, JALAN TAPAH ROAD, 35400, TAPAH ROAD, PERAK"
ABA0003,3,Rendah,PPD BATANG PADANG,SK BANIR,BANIR,35400,TAPAH ROAD,PERAK,54270085,54270085,,,,,"SK BANIR, BANIR, 35400, TAPAH ROAD, PERAK"
ABA0004,4,Rendah,PPD BATANG PADANG,SK TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,PERAK,54690253,54690263,,,,,"SK TEMOH, KAMPUNG TEMOH STESEN, 35350, TEMOH, PERAK"
ABA0005,5,Rendah,PPD BATANG PADANG,SK CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,PERAK,54161461,54161461,,,,,"SK CHENDERIANG, JALAN CHENDERIANG, 35300, CHENDERIANG, PERAK"
ABA0006,6,Rendah,PPD BATANG PADANG,SK BIDOR,JALAN SUNGKAI,35500,BIDOR,PERAK,54340797,54340797,,,,,"SK BIDOR, JALAN SUNGKAI, 35500, BIDOR, PERAK"
ABA0007,7,Rendah,PPD BATANG PADANG,SK KAMPONG POH,KAMPONG POH,35500,BIDOR,PERAK,54270103,TIADA,,,,,"SK KAMPONG POH, KAMPONG POH, 35500, BIDOR, PERAK"
ABA0008,8,Rendah,PPD BATANG PADANG,SK BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,PERAK,54198507,54190161,,,,,"SK BATU TIGA, KAMPUNG BATU TIGA, 35350, TEMOH, PERAK"
ABA0009,9,Rendah,PPD BATANG PADANG,SK BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,PERAK,54270035,54270035,,,,,"SK BATU MELINTANG, KAMPUNG BATU MELINTANG, 35000, TAPAH, PERAK"
ABA0010,10,Rendah,PPD BATANG PADANG,SK HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,PERAK,56591069,56591069,,,,,"SK HAJI HASAN, CHANGKAT PETAI, 35400, TAPAH ROAD, PERAK"
ABA0011,11,Rendah,PPD BATANG PADANG,SK SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,PERAK,TIADA,TIADA,,,,,"SK SRI KINJANG, CHENDERIANG, 35300, CHENDERIANG, PERAK"
ABA0012,12,Rendah,PPD BATANG PADANG,SK KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,PERAK,54010396,54010396,,,,,"SK KAMPONG PAHANG, JALAN PAHANG, 35000, TAPAH, PERAK"
ABA0013,13,Rendah,PPD BATANG PADANG,SK BATU TUJUH,JALAN PAHANG,35000,TAPAH,PERAK,54010735,54010735,,,,,"SK BATU TUJUH, JALAN PAHANG, 35000, TAPAH, PERAK"
ABA0014,14,Rendah,PPD BATANG PADANG,SK JERAM MENGKUANG,BATU 5, JERAM MENGKUANG,35500,BIDOR,PERAK,54270118,54270119,,,,"SK JERAM MENGKUANG, BATU 5,  JERAM MENGKUANG, 35500, BIDOR"
ABA0015,15,Rendah,PPD BATANG PADANG,SK SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,PERAK,54780468,54780468,,,,,"SK SUNGAI LESONG, KG SUNGAI LESONG, 31950, MAMBANG DI AWAN, PERAK"
ABA0016,16,Rendah,PPD BATANG PADANG,SK AYER KUNING,AYER KUNING KAMPAR,31920,KAMPAR,PERAK,54789326,54789326,,,,,"SK AYER KUNING, AYER KUNING KAMPAR, 31920, KAMPAR, PERAK"
ABA0017,17,Rendah,PPD BATANG PADANG,SK BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,PERAK,54270021,TIADA,,,,,"SK BATU MASJID, KAMPONG BATU MASJID, 35350, TEMOH, PERAK"
ABA0018,18,Rendah,PPD BATANG PADANG,SK SUNGKAI,SUNGKAI,35600,SUNGKAI,PERAK,54388434,54388434,,,,,"SK SUNGKAI, SUNGKAI, 35600, SUNGKAI, PERAK"
ABA0019,19,Rendah,PPD BATANG PADANG,SK PERLOK,JALAN MENDERANG,35600,SUNGKAI,PERAK,54386911,54386911,,,,,"SK PERLOK, JALAN MENDERANG, 35600, SUNGKAI, PERAK"
ABA0020,20,Rendah,PPD BATANG PADANG,SK BIKAM,KG.BIKAM,35600,SUNGKAI,PERAK,54386179,54386179,,,,,"SK BIKAM, KG.BIKAM, 35600, SUNGKAI, PERAK"
ABA0021,21,Rendah,PPD BATANG PADANG,SK AMINUDIN BAKI,JALAN STESEN,35800,SLIM RIVER,PERAK,54520650,54520650,,,,,"SK AMINUDIN BAKI, JALAN STESEN, 35800, SLIM RIVER, PERAK"
ABA0022,22,Rendah,PPD BATANG PADANG,SK BALUN,KG. BALUN,35820,SLIM RIVER,PERAK,54527044,54527044,,,,,"SK BALUN, KG. BALUN, 35820, SLIM RIVER, PERAK"
ABA0023,23,Rendah,PPD BATANG PADANG,SK DATUK NAN KAYA,KAMPONG KELAWAR,35900,TANJONG MALIM,PERAK,165918271,TIADA,,,,,"SK DATUK NAN KAYA, KAMPONG KELAWAR, 35900, TANJONG MALIM, PERAK"
ABA0024,24,Rendah,PPD BATANG PADANG,SK CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,PERAK,54389843,54389843,,,,,"SK CHANGKAT SULAIMAN, KG.CHANGKAT SULAIMAN, 35600, SUNGKAI, PERAK"
ABA0025,25,Rendah,PPD BATANG PADANG,SK ULU SLIM,KG. ULU SLIM,35800,SLIM RIVER,PERAK,193444521,TIADA,,,,,"SK ULU SLIM, KG. ULU SLIM, 35800, SLIM RIVER, PERAK"
ABA0026,26,Rendah,PPD BATANG PADANG,SK KUALA SLIM,KG. KUALA SLIM,35800,SLIM RIVER,PERAK,54520072,54520072,,,,,"SK KUALA SLIM, KG. KUALA SLIM, 35800, SLIM RIVER, PERAK"
ABA0027,27,Rendah,PPD BATANG PADANG,SK TANJONG MALIM,JALAN KETOYONG,35900,TANJONG MALIM,PERAK,54595694,54585924,,,,,"SK TANJONG MALIM, JALAN KETOYONG, 35900, TANJONG MALIM, PERAK"
ABA0028,28,Rendah,PPD BATANG PADANG,SK BEHRANG,BATU 8, BEHRANG ULU,35950,BEHRANG STESEN,PERAK,TIADA,TIADA,,,,"SK BEHRANG, BATU 8,  BEHRANG ULU, 35950, BEHRANG STESEN"
ABA0029,29,Rendah,PPD BATANG PADANG,SK SLIM VILLAGE,KAMPUNG SLIM,35800,SLIM RIVER,PERAK,54527387,54527387,,,,,"SK SLIM VILLAGE, KAMPUNG SLIM, 35800, SLIM RIVER, PERAK"
ABA0030,30,Rendah,PPD BATANG PADANG,SK DATO' KAMARUDDIN,JALAN KAMPUNG PAUH,35950,BEHRANG STESEN,PERAK,54544218,54544218,,,,,"SK DATO' KAMARUDDIN, JALAN KAMPUNG PAUH, 35950, BEHRANG STESEN, PERAK"
ABA0031,31,Rendah,PPD BATANG PADANG,SK FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,PERAK,54388500,54388501,,,,,"SK FELDA SUNGAI KELAH, FELDA SUNGAI KELAH, 35600, SUNGKAI, PERAK"
ABA0032,32,Rendah,PPD BATANG PADANG,SK SUNGAI BEHRANG,FELDA SUNGAI BEHRANG,35820,SLIM RIVER,PERAK,54542679,54542679,,,,,"SK SUNGAI BEHRANG, FELDA SUNGAI BEHRANG, 35820, SLIM RIVER, PERAK"
ABA0033,33,Rendah,PPD BATANG PADANG,SK TROLAK TIMUR,FELDA TROLAK TIMUR,35700,TROLAK,PERAK,54323451,54323451,,,,,"SK TROLAK TIMUR, FELDA TROLAK TIMUR, 35700, TROLAK, PERAK"
ABA0034,34,Rendah,PPD BATANG PADANG,SK BATU 14,JALAN PAHANG,35000,TAPAH,PERAK,TIADA,TIADA,,,,,"SK BATU 14, JALAN PAHANG, 35000, TAPAH, PERAK"
ABA0035,35,Rendah,PPD BATANG PADANG,SK BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,PERAK,54312313,54312313,,,,,"SK BESOUT 3, FELDA GUNUNG BESOUT 3, 35600, SUNGKAI, PERAK"
ABA0110,36,Rendah,PPD BATANG PADANG,SK TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,PERAK,54323189,54321004,,,,,"SK TROLAK UTARA, FELDA TROLAK UTARA, 35600, SUNGKAI, PERAK"
ABA0118,37,Rendah,PPD BATANG PADANG,SK TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,PERAK,54323534,54322734,,,,,"SK TROLAK SELATAN, FELDA TROLAK SELATAN, 35600, SUNGKAI, PERAK"
ABA0120,38,Rendah,PPD BATANG PADANG,SK SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,PERAK,54311819,54311819,,,,,"SK SERI BESOUT, FELDA GUNUNG BESOUT 01, 35600, SUNGKAI, PERAK"
ABA0121,39,Rendah,PPD BATANG PADANG,SK BESOUT 4,FELDA BESOUT 4,35600,SUNGKAI,PERAK,TIADA,TIADA,,,,,"SK BESOUT 4, FELDA BESOUT 4, 35600, SUNGKAI, PERAK"
ABA0122,40,Rendah,PPD BATANG PADANG,SK BESOUT 5,FELDA GUNUNG BESOUT 5,35600,SUNGKAI,PERAK,194630861,TIADA,,,,,"SK BESOUT 5, FELDA GUNUNG BESOUT 5, 35600, SUNGKAI, PERAK"
ABA0123,41,Rendah,PPD BATANG PADANG,SK POS BERSIH,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA,,,,,"SK POS BERSIH, ULU SLIM, 35800, SLIM RIVER, PERAK"
ABA0124,42,Rendah,PPD BATANG PADANG,SK POS TENAU,ULU SLIM,35800,SLIM RIVER,PERAK,TIADA,TIADA,,,,,"SK POS TENAU, ULU SLIM, 35800, SLIM RIVER, PERAK"
ABA0125,43,Rendah,PPD BATANG PADANG,SK POS GEDONG,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA,,,,,"SK POS GEDONG, PETI SURAT 20, 35500, BIDOR, PERAK"
ABA0126,44,Rendah,PPD BATANG PADANG,SK KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,PERAK,TIADA,TIADA,,,,,"SK KAMPUNG SENTA, PETI SURAT 20, 35500, BIDOR, PERAK"
ABA0127,45,Rendah,PPD BATANG PADANG,SK POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,PERAK,TIADA,TIADA,,,,,"SK POS MUSUH LZ, PETI SURAT 51, 35000, TAPAH, PERAK"
ABA0128,46,Rendah,PPD BATANG PADANG,SK JERNANG,P/SURAT 14, PEJABAT POS SUNGKAI,35600,SUNGKAI,PERAK,195459453,TIADA,,,,"SK JERNANG, P/SURAT 14,  PEJABAT POS SUNGKAI, 35600, SUNGKAI"
ABA0129,47,Rendah,PPD BATANG PADANG,SK TAPAH,JALAN BIDOR LAMA,35000,TAPAH,PERAK,54016122,54016122,,,,,"SK TAPAH, JALAN BIDOR LAMA, 35000, TAPAH, PERAK"
ABA0130,48,Rendah,PPD BATANG PADANG,SK BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,PERAK,54341216,54340926,,,,,"SK BIDOR 2, JALAN TELUK INTAN, 35500, BIDOR, PERAK"
ABA0131,49,Rendah,PPD BATANG PADANG,SK PROTON CITY,BANDAR PROTON,35900,TANJONG MALIM,PERAK,54581128,54581129,,,,,"SK PROTON CITY, BANDAR PROTON, 35900, TANJONG MALIM, PERAK"
ABA0132,50,Rendah,PPD BATANG PADANG,SEKOLAH KEBANGSAAN BANDAR BEHRANG 2020,JALAN WAWASAN MESRA,35900,TANJONG MALIM,PERAK,54583435,54583439,,,,,"SEKOLAH KEBANGSAAN BANDAR BEHRANG 2020, JALAN WAWASAN MESRA, 35900, TANJONG MALIM, PERAK"
ABA1001,51,Rendah,PPD MANJUNG,SK DENDANG,KAMPUNG DENDANG,32700,BERUAS,PERAK,52560031,52560031,,,,,"SK DENDANG, KAMPUNG DENDANG, 32700, BERUAS, PERAK"
ABA1002,52,Rendah,PPD MANJUNG,SK BERUAS,JALAN PARIT,32700,BERUAS,PERAK,56740696,56749009,,,,,"SK BERUAS, JALAN PARIT, 32700, BERUAS, PERAK"
ABA1003,53,Rendah,PPD MANJUNG,SK KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,PERAK,56748048,56748048,,,,,"SK KAMPUNG KOTA, JALAN SITIAWAN, 32700, BERUAS, PERAK"
ABA1004,54,Rendah,PPD MANJUNG,SK GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,PERAK,56721145,56721145,,,,,"SK GELONG GAJAH, KAMPUNG  KEDAH, 32700, BERUAS, PERAK"
ABA1005,55,Rendah,PPD MANJUNG,SK CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,PERAK,53765253,53765253,,,,,"SK CHANGKAT CHERMIN, CHANGKAT CHERMIN, 32400, AYER TAWAR, PERAK"
ABA1006,56,Rendah,PPD MANJUNG,SK AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,PERAK,56724248,56724248,,,,,"SK AYER TAWAR, JALAN AYER TAWAR PANTAI REMIS, 32400, AYER TAWAR, PERAK"
ABA1007,57,Rendah,PPD MANJUNG,SK PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,PERAK,56775795,56773528,,,,,"SK PANCHOR, JALAN PANTAI REMIS TAIPING, 34900, PANTAI REMIS, PERAK"
ABA1008,58,Rendah,PPD MANJUNG,SK PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,PERAK,56775595,56775595,,,,,"SK PENGKALAN BAHARU, PENGKALAN BAHARU, 34900, PANTAI REMIS, PERAK"
ABA1009,59,Rendah,PPD MANJUNG,SK SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,PERAK,56774660,56777529,,,,,"SK SUNGAI BATU, KAMPUNG SUNGAI BATU, 34900, PANTAI REMIS, PERAK"
ABA1010,60,Rendah,PPD MANJUNG,SK LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,PERAK,56752168,56752168,,,,,"SK LADANG HUNTLY, LADANG HUNTLY, 32500, CHANGKAT KERUING, PERAK"
ABA1011,61,Rendah,PPD MANJUNG,SK SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,PERAK,56774473,56774473,,,,,"SK SEGARI, JALAN PANTAI REMIS DAMAR LAUT, 32200, LUMUT, PERAK"
ABA1012,62,Rendah,PPD MANJUNG,SK NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,PERAK,56777151,56777151,,,,,"SK NAKHODA MUHAMMAD TAIB, BATU 3 SEGARI, 32200, LUMUT, PERAK"
ABA1013,63,Rendah,PPD MANJUNG,SK SUNGAI RAMAI,KG. SG. RAMAI,32400,AYER TAWAR,PERAK,56721259,56721259,,,,,"SK SUNGAI RAMAI, KG. SG. RAMAI, 32400, AYER TAWAR, PERAK"
ABA1014,64,Rendah,PPD MANJUNG,SK SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,PERAK,56924192,56924192,,,,,"SK SUNGAI WANGI, JALAN BRUAS, 32400, AYER TAWAR, PERAK"
ABA1015,65,Rendah,PPD MANJUNG,SK SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,PERAK,56922495,56926143,,,,,"SK SERI SELAMAT, LORONG SELAMAT, 32000, SITIAWAN, PERAK"
ABA1016,66,Rendah,PPD MANJUNG,SK SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,PERAK,56923754,56923754,,,,,"SK SITIAWAN, KAMPONG SITIAWAN, 32000, SITIAWAN, PERAK"
ABA1017,67,Rendah,PPD MANJUNG,SK LEKIR,BATU 8,32020,SITIAWAN,PERAK,56792764,56792764,,,,,"SK LEKIR, BATU 8, 32020, SITIAWAN, PERAK"
ABA1018,68,Rendah,PPD MANJUNG,SK MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,PERAK,56939610,56939611,,,,,"SK MUHAMMAD SAMAN, PASIR PANJANG LAUT, 32040, SERI MANJUNG, PERAK"
ABA1019,69,Rendah,PPD MANJUNG,SK BATU SEPULUH,LEKIR,32020,SITIAWAN,PERAK,56791206,56791951,,,,,"SK BATU SEPULUH, LEKIR, 32020, SITIAWAN, PERAK"
ABA1020,70,Rendah,PPD MANJUNG,SK SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,PERAK,56690576,56690576,,,,,"SK SUNGAI TIRAM, SUNGAI TIRAM, 32020, SITIAWAN, PERAK"
ABA1021,71,Rendah,PPD MANJUNG,SK DATO' ISHAK,KAMPUNG PADANG TEMBAK, TELUK MUROK,32200,LUMUT,PERAK,56835440,56834332,,,,"SK DATO' ISHAK, KAMPUNG PADANG TEMBAK,  TELUK MUROK, 32200, LUMUT"
ABA1022,72,Rendah,PPD MANJUNG,SK LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,PERAK,56835322,56835322,,,,,"SK LUMUT, JLN ISKANDAR SHAH, 32200, LUMUT, PERAK"
ABA1023,73,Rendah,PPD MANJUNG,SK SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,PERAK,56851193,56855911,,,,,"SK SERI PANGKOR, JALAN PASIR BOGAK, 32300, PANGKOR, PERAK"
ABA1024,74,Rendah,PPD MANJUNG,SK TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,PERAK,56990070,56990070,,,,,"SK TELAGA NENAS, KG TELAGA NANAS, 32400, AYER TAWAR, PERAK"
ABA1025,75,Rendah,PPD MANJUNG,SK KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,PERAK,56915975,56915975,,,,,"SK KAMPUNG BAHARU, KAMPONG BAHARU (L), 32400, AYER TAWAR, PERAK"
ABA1026,76,Rendah,PPD MANJUNG,SK KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,PERAK,56792712,56792712,,,,,"SK KAYAN, JALAN TELUK INTAN - SITIAWAN, 32030, SITIAWAN, PERAK"
ABA1027,77,Rendah,PPD MANJUNG,SK PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,PERAK,56835890,56838527,,,,,"SK PANGKALAN TLDM, PANGKALAN TLDM, 32100, LUMUT, PERAK"
ABA1028,78,Rendah,PPD MANJUNG,SK SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,PERAK,56881014,56889855,,,,,"SK SERI MANJUNG, BANDAR BARU SERI MANJUNG, 32040, SERI MANJUNG, PERAK"
ABA1029,79,Rendah,PPD MANJUNG,SK PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,PERAK,56774375,56777586,,,,,"SK PANTAI REMIS, JALAN RUMAH MURAH, 34900, PANTAI REMIS, PERAK"
ABA1030,80,Rendah,PPD MANJUNG,SK GUGUSAN LEKIR,D/A FELCRA GUGUSAN LEKIR,32000,SITIAWAN,PERAK,56923687,56926126,,,,,"SK GUGUSAN LEKIR, D/A FELCRA GUGUSAN LEKIR, 32000, SITIAWAN, PERAK"
ABA1031,81,Rendah,PPD MANJUNG,SK PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,PERAK,56834914,56838079,,,,,"SK PANGKALAN TLDM II, PANGKALAN TLDM, 32100, LUMUT, PERAK"
ABA1032,82,Rendah,PPD MANJUNG,SK KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,PERAK,56886616,56886616,,,,,"SK KPG. DATO' SERI KAMARUDDIN, KPG DATO' SERI KAMARUDDIN, 32040, SERI MANJUNG, PERAK"
ABA1033,83,Rendah,PPD MANJUNG,SK SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,56882087,56882326,,,,,"SK SERI SITIAWAN, MANJUNG RAYA, 32040, SERI MANJUNG, PERAK"
ABA1034,84,Rendah,PPD MANJUNG,SK SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,PERAK,56888950,56883866,,,,,"SK SERI BAYU, PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG, 32040, SERI MANJUNG, PERAK"
ABA1035,85,Rendah,PPD MANJUNG,SK SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,56881909,56883703,,,,,"SK SERI SAMUDERA, MANJUNG RAYA, 32040, SERI MANJUNG, PERAK"
ABA2001,86,Rendah,PPD KINTA UTARA,SK SUNGAI RAYA,JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG,31300,KG. KEPAYANG,PERAK,53571660,53571660,,,,"SK SUNGAI RAYA, JLN. RAJA DR. NAZRIN SHAH,  KAMPONG KEPAYANG, 31300, KG. KEPAYANG"
ABA2002,87,Rendah,PPD KINTA UTARA,SK SUNGAI RAPAT,JALAN RAJA ABDULLAH,31350,IPOH,PERAK,53123528,53111632,,,,,"SK SUNGAI RAPAT, JALAN RAJA ABDULLAH, 31350, IPOH, PERAK"
ABA2003,88,Rendah,PPD KINTA UTARA,SK SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,PERAK,53121890,53115806,,,,,"SK SUNGAI ROKAM, JALAN KENANGA, 31350, IPOH, PERAK"
ABA2004,89,Rendah,PPD KINTA UTARA,SK TAMBUN,JALAN AMPANG,31400,IPOH,PERAK,55469261,55499086,,,,,"SK TAMBUN, JALAN AMPANG, 31400, IPOH, PERAK"
ABA2005,90,Rendah,PPD KINTA UTARA,SK TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,PERAK,55332950,55330751,,,,,"SK TANJONG RAMBUTAN, JALAN STESEN, 31250, TANJONG RAMBUTAN, PERAK"
ABA2006,91,Rendah,PPD KINTA UTARA,SK TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,PERAK,55464913,55464913,,,,,"SK TASEK, JALAN SULTAN AZLAN SHAH UTARA, 31400, IPOH, PERAK"
ABA2007,92,Rendah,PPD KINTA UTARA,SK CHEPOR,JALAN JELAPANG,31200,CHEMOR,PERAK,52017246,52012135,,,,,"SK CHEPOR, JALAN JELAPANG, 31200, CHEMOR, PERAK"
ABA2008,93,Rendah,PPD KINTA UTARA,SK HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,PERAK,52011534,52018980,,,,,"SK HAJI MAHMUD, JALAN SEKOLAH, 31200, CHEMOR, PERAK"
ABA2009,94,Rendah,PPD KINTA UTARA,SK SYED IDRUS,KUANG,31200,CHEMOR,PERAK,52015669,52015669,,,,,"SK SYED IDRUS, KUANG, 31200, CHEMOR, PERAK"
ABA2010,95,Rendah,PPD KINTA UTARA,SK DATO' PANGLIMA KINTA,JALAN TUN PERAK,30200,IPOH,PERAK,52545680,52544884,,,,,"SK DATO' PANGLIMA KINTA, JALAN TUN PERAK, 30200, IPOH, PERAK"
ABA2011,96,Rendah,PPD KINTA UTARA,SK JALAN PANGLIMA BUKIT GANTANG,JALAN PANGLIMA BUKIT GANTANG WAHAB,30000,IPOH,PERAK,52559896,52432785,,,,,"SK JALAN PANGLIMA BUKIT GANTANG, JALAN PANGLIMA BUKIT GANTANG WAHAB, 30000, IPOH, PERAK"
ABA2012,97,Rendah,PPD KINTA UTARA,SK SERI KEPAYANG,FAIR PARK,31400,IPOH,PERAK,55450905,55450905,,,,,"SK SERI KEPAYANG, FAIR PARK, 31400, IPOH, PERAK"
ABA2014,98,Rendah,PPD KINTA UTARA,SK KAMPUNG PASIR PUTEH,TAMAN SHATIN,31650,IPOH,PERAK,53219041,53233870,,,,,"SK KAMPUNG PASIR PUTEH, TAMAN SHATIN, 31650, IPOH, PERAK"
ABA2015,99,Rendah,PPD KINTA UTARA,SK KUALA PARI,JALAN TOH PUAN RAHMAH,31450,MENGLEMBU,PERAK,52821788,52821788,,,,,"SK KUALA PARI, JALAN TOH PUAN RAHMAH, 31450, MENGLEMBU, PERAK"
ABA2016,100,Rendah,PPD KINTA UTARA,SK PENGKALAN PEGOH,JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH,31500,LAHAT,PERAK,53216399,53216399,,,,"SK PENGKALAN PEGOH, JALAN SIMPANG PULAI,  KG. PENGKALAN PEGOH, 31500, LAHAT"
ABA2017,101,Rendah,PPD KINTA SELATAN,SK PENGKALAN BAHARU,JALAN GOPENG, KG. KEPAYANG,31300,KG. KEPAYANG,PERAK,53576199,53577962,,,,"SK PENGKALAN BAHARU, JALAN GOPENG,  KG. KEPAYANG, 31300, KG. KEPAYANG"
ABA2018,102,Rendah,PPD KINTA SELATAN,SK GOPENG,TAMAN GOPENG BARU,31600,GOPENG,PERAK,53595922,53597103,,,,,"SK GOPENG, TAMAN GOPENG BARU, 31600, GOPENG, PERAK"
ABA2019,103,Rendah,PPD KINTA SELATAN,SK GUNUNG PANJANG,KG. GUNUNG PANJANG,31600,GOPENG,PERAK,53593317,53593317,,,,,"SK GUNUNG PANJANG, KG. GUNUNG PANJANG, 31600, GOPENG, PERAK"
ABA2020,104,Rendah,PPD KINTA SELATAN,SK CHANGKAT TUALANG,KG. CHANGKAT TUALANG, KOTA BAHRU,31610,GOPENG,PERAK,54690014,TIADA,,,,"SK CHANGKAT TUALANG, KG. CHANGKAT TUALANG,  KOTA BAHRU, 31610, GOPENG"
ABA2021,105,Rendah,PPD KINTA SELATAN,SK KOTA BAHARU,JALAN DATUK SETIA,31610,GOPENG,PERAK,53595409,53595409,,,,,"SK KOTA BAHARU, JALAN DATUK SETIA, 31610, GOPENG, PERAK"
ABA2022,106,Rendah,PPD KINTA SELATAN,SK TUALANG SEKAH,JALAN MALIM NAWAR,31700,MALIM NAWAR,PERAK,54775145,54775145,,,,,"SK TUALANG SEKAH, JALAN MALIM NAWAR, 31700, MALIM NAWAR, PERAK"
ABA2023,107,Rendah,PPD KINTA SELATAN,SK MALIM NAWAR,KAMPUNG CHANGKAT BARU,31700,MALIM NAWAR,PERAK,54775506,54775506,,,,,"SK MALIM NAWAR, KAMPUNG CHANGKAT BARU, 31700, MALIM NAWAR, PERAK"
ABA2024,108,Rendah,PPD KINTA SELATAN,SK KUALA DIPANG,KUALA DIPANG,31850,JERAM,PERAK,54775632,54775632,,,,,"SK KUALA DIPANG, KUALA DIPANG, 31850, JERAM, PERAK"
ABA2025,109,Rendah,PPD KINTA SELATAN,SK SAHOM,JLN CHENDERIANG,31920,KAMPAR,PERAK,TIADA,TIADA,,,,,"SK SAHOM, JLN CHENDERIANG, 31920, KAMPAR, PERAK"
ABA2026,110,Rendah,PPD KINTA SELATAN,SK KAMPAR,192 JLN BUKIT,31900,KAMPAR,PERAK,54651237,54651237,,,,,"SK KAMPAR, 192 JLN BUKIT, 31900, KAMPAR, PERAK"
ABA2027,111,Rendah,PPD KINTA SELATAN,SK BUKIT PEKAN,JALAN KG. BUKIT PEKAN,31910,KAMPAR,PERAK,54660980,54660980,,,,,"SK BUKIT PEKAN, JALAN KG. BUKIT PEKAN, 31910, KAMPAR, PERAK"
