no_number,namaklinik_value,alamat_description,bandar_value,negeri_value,col_link,col_link/_text,col_link/_title,col_image,col_image/_alt
"1591","Klinik Desa Sungai Burung","45500 Tanjung Karang","Tanjung Karang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1591","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1593","Klinik Desa Sungai Burung","Jalan Pancang Bedena 45300 Sungai Besar","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1593","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1603","Klinik Desa Sungai Gulang-Gulang","Jalan Sungai Gulang-Gulang","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1603","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1615","Klinik Desa Sungai Kelambu","42700 Banting","Banting","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1615","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1624","Klinik Desa Sungai Lalang","43500 Semenyih","Semenyih","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1624","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1636","Klinik Desa Sungai Lui","Bt 21, Hulu Langat","Kajang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1636","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1644","Klinik Desa Sungai Nibong","Jalan Besar Kg. Sg Nibong","Sungai Besar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1644","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1661","Klinik Desa Sungai Ramal Luar","Jalan Mentri, Sg Ramal Luar, Kajang","Kajang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1661","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1671","Klinik Desa Sungai Sekamat","43000 Kajang","Kajang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1671","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1673","Klinik Desa Sungai Sembilang","45800 Jeram","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1673","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1675","Klinik Desa Sungai Serai","48050 Rawang","Rawang","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1675","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1676","Klinik Desa Sungai Serdang","Batu 13, Kampung Sungai Serdang","Kapar","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1676","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1680","Klinik Desa Sungai Sireh","Kampung Sungai Sireh","Kuala Selangor","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1680","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
"1683","Klinik Desa Sungai Tekali","43100 Hulu Langat","Hulu Langat","Selangor","http://www.moh.gov.my/index.php/database_stores/store_view_page/1/1683","","View","http://www.moh.gov.my/assets/shared/images/admin/magnifier.png",""
