Negeri,PPD,KodSekolah,NamaSekolah,L,P,J
SELANGOR,PPD GOMBAK,BBC7402,SJK(C) KHEOW BIN,1066,987,2053
SELANGOR,PPD GOMBAK,BBC7403,SJK(C) KUANG,265,242,507
SELANGOR,PPD GOMBAK,BBC7404,SJK(C) KUNDANG,399,350,749
SELANGOR,PPD GOMBAK,BBC7405,SJK(C) SAN YUK,1281,1073,2354
SELANGOR,PPD GOMBAK,BBC7406,SJK(C) SELAYANG BARU,571,556,1127
SELANGOR,PPD GOMBAK,BBC7407,SJK(C) DESA JAYA,1888,1669,3557
SELANGOR,PPD GOMBAK,BBC7408,SJKC KOTA EMERALD,286,289,575
SELANGOR,PPD GOMBAK,BBD7451,SJK(T) BATU CAVES,797,740,1537
SELANGOR,PPD GOMBAK,BBD7452,SJK(T) BATU ARANG,144,135,279
SELANGOR,PPD GOMBAK,BBD7453,SJK(T) KUANG,87,87,174
SELANGOR,PPD GOMBAK,BBD7454,SJK(T) BUKIT DARAH,108,115,223
SELANGOR,PPD GOMBAK,BBD7455,SJK(T) RAWANG,534,596,1130
SELANGOR,PPD GOMBAK,BBD7456,SJK(T) TAMAN MELAWATI,133,136,269
SELANGOR,PPD GOMBAK,BBD8457,SJK(T) SARASWATHY,297,330,627
SELANGOR,PPD GOMBAK,BEA4619,SMK BUKIT INDAH,642,663,1305
SELANGOR,PPD GOMBAK,BEA7601,SMK GOMBAK SETIA,1374,1483,2857
SELANGOR,PPD GOMBAK,BEA7602,SMK TAMAN SELAYANG,936,848,1784
SELANGOR,PPD GOMBAK,BEA7603,SMK LEMBAH KERAMAT,660,715,1375
SELANGOR,PPD GOMBAK,BEA7604,SMK TAMAN EHSAN,1101,988,2089
SELANGOR,PPD GOMBAK,BEA7605,SMK RAWANG,1113,1046,2159
SELANGOR,PPD GOMBAK,BEA7606,SMK TAMAN KERAMAT,470,509,979
SELANGOR,PPD GOMBAK,BEA7607,SMK SERI GOMBAK,1009,992,2001
SELANGOR,PPD GOMBAK,BEA7608,SMK HILLCREST,1067,990,2057
SELANGOR,PPD GOMBAK,BEA7609,SMK IDEAL HEIGHTS,1101,945,2046
SELANGOR,PPD GOMBAK,BEA7610,SMK TAMAN MELAWATI,1157,1118,2275
SELANGOR,PPD GOMBAK,BEA7612,SMK SERI SELAYANG,751,685,1436
SELANGOR,PPD GOMBAK,BEA7613,SMK SUNGAI KERTAS,718,691,1409
SELANGOR,PPD GOMBAK,BEA7614,SMK SERI KERAMAT,530,492,1022
SELANGOR,PPD GOMBAK,BEA7615,SMK DARUL EHSAN,1137,1181,2318
SELANGOR,PPD GOMBAK,BEA7616,SMK SUNGAI PUSU,903,973,1876
SELANGOR,PPD GOMBAK,BEA7617,SMK TAMAN DESA,900,872,1772
SELANGOR,PPD GOMBAK,BEA7618,SMK BANDAR TASIK PUTERI,1224,1292,2516
SELANGOR,PPD GOMBAK,BEA7619,SMK BUKIT RAHMAN PUTRA,992,1006,1998
SELANGOR,PPD GOMBAK,BEA7620,SMK SERI KUNDANG,743,719,1462
SELANGOR,PPD GOMBAK,BEA7621,SMK TAMAN DESA 2,967,915,1882
SELANGOR,PPD GOMBAK,BEA7622,SMK SIERRAMAS,474,415,889
SELANGOR,PPD GOMBAK,BEA7623,SMK TUN PERAK,452,424,876
SELANGOR,PPD GOMBAK,BEA8605,SMK BUKIT GADING,943,1063,2006
SELANGOR,PPD GOMBAK,BEA8620,SMK BANDAR BARU SUNGAI BULOH,1327,1305,2632
SELANGOR,PPD GOMBAK,BEB7651,SMK KEPONG,1278,1197,2475
SELANGOR,PPD GOMBAK,BEB7652,SMK HULU KELANG,223,237,460
SELANGOR,PPD GOMBAK,BEB7653,SMK SELAYANG BHARU,1070,959,2029
SELANGOR,PPD GOMBAK,BEB7654,SMK SERI GARING,1304,1387,2691
SELANGOR,PPD GOMBAK,BEB7655,SMK TUANKU ABDUL RAHMAN,414,386,800
SELANGOR,PPD GOMBAK,BFT7001,SAM RAWANG,326,431,757
SELANGOR,PPD GOMBAK,BFT8001,SAM PAYA JARAS,233,302,535
SELANGOR,PPD GOMBAK,BHA7001,KOLEJ VOKASIONAL GOMBAK ,57,226,283
SELANGOR,PPD GOMBAK,BHA8002,KOLEJ VOKASIONAL SUNGAI BULOH,502,118,620
SELANGOR,PPD GOMBAK,BRA7001,SBPI RAWANG,309,323,632
SELANGOR,PPD GOMBAK,BRA7002,SBPI GOMBAK,314,317,631
SELANGOR,PPD HULU LANGAT,BBA4001,SK SUNGAI SERAI,486,447,933
SELANGOR,PPD HULU LANGAT,BBA4002,SK JALAN ENAM,801,719,1520
SELANGOR,PPD HULU LANGAT,BBA4003,SK AMPANG CAMPURAN,683,554,1237
SELANGOR,PPD HULU LANGAT,BBA4004,SK SERI SEKAMAT,702,694,1396
SELANGOR,PPD HULU LANGAT,BBA4005,SK BATU SEMBILAN,362,304,666
SELANGOR,PPD HULU LANGAT,BBA4006,SK TUN ABD AZIZ MAJID,653,601,1254
SELANGOR,PPD HULU LANGAT,BBA4007,SK SG TEKALI,130,139,269
SELANGOR,PPD HULU LANGAT,BBA4008,SK KUALA POMSON,64,69,133
SELANGOR,PPD HULU LANGAT,BBA4009,SK DUSUN TUA,353,325,678
SELANGOR,PPD HULU LANGAT,BBA4010,SK LUBOK KELUBI,268,228,496
SELANGOR,PPD HULU LANGAT,BBA4011,SK SUNGAI LUI,172,197,369
SELANGOR,PPD HULU LANGAT,BBA4012,SK LEFTENAN ADNAN,571,567,1138
SELANGOR,PPD HULU LANGAT,BBA4013,SK SUNGAI RAMAL DALAM,593,487,1080
SELANGOR,PPD HULU LANGAT,BBA4014,SK TAMAN NIRWANA,828,745,1573
SELANGOR,PPD HULU LANGAT,BBA4015,SK KAJANG,365,274,639
SELANGOR,PPD HULU LANGAT,BBA4016,SK BERANANG,278,291,569
SELANGOR,PPD HULU LANGAT,BBA4017,SK KG KUALA PAJAM,84,70,154
SELANGOR,PPD HULU LANGAT,BBA4018,SK BANGI,397,407,804
SELANGOR,PPD HULU LANGAT,BBA4019,SEKOLAH KEBANGSAAN KG CHERAS BAHARU,404,358,762
SELANGOR,PPD HULU LANGAT,BBA4020,SK LEMBAH JAYA,616,566,1182
SELANGOR,PPD HULU LANGAT,BBA4021,SK ULU SEMENYIH,404,345,749
SELANGOR,PPD HULU LANGAT,BBA4022,SK KG RINCING,183,170,353
SELANGOR,PPD HULU LANGAT,BBA4023,SK RINCHING HILIR,324,282,606
SELANGOR,PPD HULU LANGAT,BBA4024,SK AMPANG,660,626,1286
SELANGOR,PPD HULU LANGAT,BBA4025,SK BANDAR BARU BANGI,761,776,1537
SELANGOR,PPD HULU LANGAT,BBA4026,SK TAMAN TASIK,748,726,1474
SELANGOR,PPD HULU LANGAT,BBA4027,SK SUNGAI KANTAN,422,329,751
SELANGOR,PPD HULU LANGAT,BBA4028,SK TAMAN MUDA,555,510,1065
SELANGOR,PPD HULU LANGAT,BBA4029,SK TAMAN CUEPACS,446,387,833
SELANGOR,PPD HULU LANGAT,BBA4030,SK TAMAN KOSAS,786,777,1563
SELANGOR,PPD HULU LANGAT,BBA4031,SK TAMING JAYA,1195,1108,2303
SELANGOR,PPD HULU LANGAT,BBA4032,SK JALAN 3,919,837,1756
SELANGOR,PPD HULU LANGAT,BBA4033,SK PANDAN INDAH,827,744,1571
SELANGOR,PPD HULU LANGAT,BBA4034,SK BANDAR TUN HUSSEIN ONN,1058,950,2008
SELANGOR,PPD HULU LANGAT,BBA4035,SK PANDAN JAYA,338,341,679
SELANGOR,PPD HULU LANGAT,BBA4036,SK SAUJANA IMPIAN,598,569,1167
SELANGOR,PPD HULU LANGAT,BBA4037,SK KAJANG UTAMA,815,677,1492
SELANGOR,PPD HULU LANGAT,BBA4038,SK TAMAN RAKAN,680,670,1350
SELANGOR,PPD HULU LANGAT,BBA4039,SK SRI JELOK,449,414,863
SELANGOR,PPD HULU LANGAT,BBA4040,SK CHERAS INDAH,212,198,410
SELANGOR,PPD HULU LANGAT,BBA4041,SK BUKIT RAYA,322,318,640
SELANGOR,PPD HULU LANGAT,BBA4042,SK TASEK PERMAI,199,206,405
SELANGOR,PPD HULU LANGAT,BBA4043,SK DESA BAIDURI,694,702,1396
SELANGOR,PPD HULU LANGAT,BBA4044,SK TAMAN JASMIN,874,713,1587
SELANGOR,PPD HULU LANGAT,BBA4045,SK JALAN EMPAT,1160,1125,2285
SELANGOR,PPD HULU LANGAT,BBA4046,SK KANTAN PERMAI,841,865,1706
SELANGOR,PPD HULU LANGAT,BBA4047,SK SEKSYEN 7,1376,1331,2707
SELANGOR,PPD HULU LANGAT,BBA4048,SK PANDAN PERDANA,136,154,290
SELANGOR,PPD HULU LANGAT,BBA4049,SK SAUJANA IMPIAN (2),606,574,1180
SELANGOR,PPD HULU LANGAT,BBA4050,SK CHERAS JAYA,661,629,1290
SELANGOR,PPD HULU LANGAT,BBA4051,SK BANDAR TASIK KESUMA,1174,1033,2207
SELANGOR,PPD HULU LANGAT,BBA4052,SK BANDAR RINCHING,1192,1087,2279
SELANGOR,PPD HULU LANGAT,BBA4053,SK BANDAR TEKNOLOGI,828,777,1605
SELANGOR,PPD HULU LANGAT,BBA4054,SK DUSUN NANDING,366,354,720
SELANGOR,PPD HULU LANGAT,BBA4055,SK BANDAR TUN HUSSEIN ONN 2,1120,1059,2179
SELANGOR,PPD HULU LANGAT,BBA4056,SK TAMAN BUKIT TERATAI,392,345,737
SELANGOR,PPD HULU LANGAT,BBA4057,SK TAMAN PUTERI,179,181,360
SELANGOR,PPD HULU LANGAT,BBA4058,SK BANDAR SERI PUTRA,1259,1169,2428
SELANGOR,PPD HULU LANGAT,BBA4060,SEKOLAH KEBANGSAAN BANDAR BUKIT MAHKOTA,456,449,905
SELANGOR,PPD HULU LANGAT,BBB4028,SK CONVENT (M),0,946,946
SELANGOR,PPD HULU LANGAT,BBB4029,SK JALAN BUKIT SATU,107,86,193
SELANGOR,PPD HULU LANGAT,BBB4030,SK (2) JALAN BUKIT,73,45,118
SELANGOR,PPD HULU LANGAT,BBB4031,SK JALAN SEMENYIH '1'(INTEG),177,98,275
SELANGOR,PPD HULU LANGAT,BBB4032,SK JALAN SEMENYIH '2'(INTEG),280,104,384
SELANGOR,PPD HULU LANGAT,BBB4033,SK SEMENYIH,1039,935,1974
SELANGOR,PPD HULU LANGAT,BBC4034,SJK(C) BALAKONG,769,773,1542
SELANGOR,PPD HULU LANGAT,BBC4035,SJK(C) BATU 9 CHERAS,1142,1155,2297
SELANGOR,PPD HULU LANGAT,BBC4036,SJK(C) BATU 11,1833,1748,3581
SELANGOR,PPD HULU LANGAT,BBC4037,SJK(C) CHOON HWA,15,19,34
SELANGOR,PPD HULU LANGAT,BBC4039,SJK(C) KG BARU SEMENYIH,345,329,674
SELANGOR,PPD HULU LANGAT,BBC4040,SJK(C) SIN MING,771,657,1428
SELANGOR,PPD HULU LANGAT,BBC4041,SJK(C) SUNGAI CHUA,805,709,1514
SELANGOR,PPD HULU LANGAT,BBC4042,SJK(C) TON FAH,72,78,150
SELANGOR,PPD HULU LANGAT,BBC4043,SJK(C) BATU 14,177,152,329
SELANGOR,PPD HULU LANGAT,BBC4044,SJK(C) YOKE MIN,87,94,181
SELANGOR,PPD HULU LANGAT,BBC4045,SJK(C) YU HUA,1481,1351,2832
SELANGOR,PPD HULU LANGAT,BBC4046,SJK(C) KG BARU AMPANG,743,691,1434
SELANGOR,PPD HULU LANGAT,BBC4047,SJK(C) ON PONG,897,868,1765
SELANGOR,PPD HULU LANGAT,BBC4048,SJK(C) CONNAUGHT (2),1435,1423,2858
SELANGOR,PPD HULU LANGAT,BBC4049,SJK(C) ON PONG 2,1416,1248,2664
SELANGOR,PPD HULU LANGAT,BBD4051,SJK(T) BANGI,58,49,107
SELANGOR,PPD HULU LANGAT,BBD4053,SJK(T) LDG DOMINION,12,8,20
SELANGOR,PPD HULU LANGAT,BBD4055,SJK(T) KAJANG,611,563,1174
SELANGOR,PPD HULU LANGAT,BBD4057,SJK(T) LDG RINCHING,290,271,561
SELANGOR,PPD HULU LANGAT,BBD4060,SJK(T) LADANG SEMENYIH,224,193,417
SELANGOR,PPD HULU LANGAT,BBD4063,SJK(T) LDG WEST COUNTRY 'TIMUR',189,194,383
SELANGOR,PPD HULU LANGAT,BBD4064,SJK(T) AMPANG,252,246,498
SELANGOR,PPD HULU LANGAT,BEA4601,SMK TAMAN TASIK,991,1030,2021
SELANGOR,PPD HULU LANGAT,BEA4603,SMK BANDAR BARU BANGI,1032,965,1997
SELANGOR,PPD HULU LANGAT,BEA4604,SMK SULTAN ABDUL AZIZ SHAH (INTEG),1074,1234,2308
SELANGOR,PPD HULU LANGAT,BEA4605,SMK KHIR JOHARI,414,439,853
SELANGOR,PPD HULU LANGAT,BEA4606,SMK ABDUL JALIL,1193,1222,2415
SELANGOR,PPD HULU LANGAT,BEA4608,SMK ENGKU HUSAIN,1569,1565,3134
SELANGOR,PPD HULU LANGAT,BEA4609,SMK TAMAN KOSAS,1194,1131,2325
SELANGOR,PPD HULU LANGAT,BEA4610,SMK TAMAN SERAYA,842,886,1728
SELANGOR,PPD HULU LANGAT,BEA4611,SMK PERIMBUN,1131,1207,2338
SELANGOR,PPD HULU LANGAT,BEA4612,SMK TASEK PERMAI,439,441,880
SELANGOR,PPD HULU LANGAT,BEA4613,SMK JALAN REKO,978,863,1841
SELANGOR,PPD HULU LANGAT,BEA4614,SMK JALAN TIGA,1139,1077,2216
SELANGOR,PPD HULU LANGAT,BEA4615,SMK PANDAN JAYA,959,882,1841
SELANGOR,PPD HULU LANGAT,BEA4616,SMK PANDAN INDAH,1034,1019,2053
SELANGOR,PPD HULU LANGAT,BEA4617,SMK CHERAS PERDANA,824,678,1502
SELANGOR,PPD HULU LANGAT,BEA4618,SMK DATO' AHMAD RAZALI,490,496,986
SELANGOR,PPD HULU LANGAT,BEA4620,SMK CHERAS JAYA,1223,1181,2404
SELANGOR,PPD HULU LANGAT,BEA4621,SMK SAUJANA IMPIAN,1299,1366,2665
SELANGOR,PPD HULU LANGAT,BEA4622,SMK BANDAR BARU AMPANG,651,668,1319
SELANGOR,PPD HULU LANGAT,BEA4623,SMK BANDAR BARU SUNGAI LONG,1631,1481,3112
