Negeri,PPD,KodSekolah,NamaSekolah,L,P,J
SELANGOR,PPD KLANG,BBA0008,SK RANTAU PANJANG,1530,1464,2994
SELANGOR,PPD KLANG,BBA0009,SK SEMENTA,950,925,1875
SELANGOR,PPD KLANG,BBA0010,SK KAPAR,367,342,709
SELANGOR,PPD KLANG,BBA0011,SK BUKIT KAPAR,1031,970,2001
SELANGOR,PPD KLANG,BBA0012,SK SUNGAI BINJAI,1600,1649,3249
SELANGOR,PPD KLANG,BBA0013,SK PULAU INDAH,780,721,1501
SELANGOR,PPD KLANG,BBA0014,SK TOK MUDA,247,238,485
SELANGOR,PPD KLANG,BBA0015,SK BUKIT KUDA,300,135,435
SELANGOR,PPD KLANG,BBA0016,SK KG RAJA UDA,455,370,825
SELANGOR,PPD KLANG,BBA0017,SK PANDAMARAN JAYA,533,458,991
SELANGOR,PPD KLANG,BBA0018,SK KG JOHAN SETIA,657,675,1332
SELANGOR,PPD KLANG,BBA0019,SK SUNGAI SERDANG,241,270,511
SELANGOR,PPD KLANG,BBA0021,SK KG PENDAMAR,420,385,805
SELANGOR,PPD KLANG,BBA0022,SK TELOK GONG,686,587,1273
SELANGOR,PPD KLANG,BBA0023,SK TAMAN KLANG JAYA,629,549,1178
SELANGOR,PPD KLANG,BBA0025,SK TELOK PULAI,736,594,1330
SELANGOR,PPD KLANG,BBA0026,SK SUNGAI UDANG,932,943,1875
SELANGOR,PPD KLANG,BBA0028,SK PELABUHAN  UTARA,788,688,1476
SELANGOR,PPD KLANG,BBA0029,SK ABDUL SAMAT,366,358,724
SELANGOR,PPD KLANG,BBA0030,SK MERU,801,811,1612
SELANGOR,PPD KLANG,BBA0031,SK KAMPUNG IDAMAN,690,637,1327
SELANGOR,PPD KLANG,BBA0032,SK TAMAN KLANG UTAMA,443,402,845
SELANGOR,PPD KLANG,BBA0033,SK KAMPUNG JAWA,458,377,835
SELANGOR,PPD KLANG,BBA0034,SK TAMAN SRI ANDALAS,947,841,1788
SELANGOR,PPD KLANG,BBA0035,SK TAMAN GEMBIRA,214,198,412
SELANGOR,PPD KLANG,BBA0036,SK BUKIT TINGGI,713,620,1333
SELANGOR,PPD KLANG,BBA0037,SK BUKIT KEMUNING 2,773,635,1408
SELANGOR,PPD KLANG,BBA0038,SK MERU (2),652,624,1276
SELANGOR,PPD KLANG,BBA0039,SK SUNGAI KAPAR INDAH,519,545,1064
SELANGOR,PPD KLANG,BBA0040,SK BUKIT KEMUNING,394,314,708
SELANGOR,PPD KLANG,BBA0041,SK KAMPUNG JAWA 2,610,590,1200
SELANGOR,PPD KLANG,BBA0042,SK PULAU INDAH (2),306,254,560
SELANGOR,PPD KLANG,BBA0043,SK BUKIT RIMAU,869,868,1737
SELANGOR,PPD KLANG,BBA0044,SK BATU UNJUR,731,659,1390
SELANGOR,PPD KLANG,BBA3030,SK BUKIT CERAKA,108,108,216
SELANGOR,PPD KLANG,BBB0024,SK METHODIST ACS,799,0,799
SELANGOR,PPD KLANG,BBB0025,SK (1) JALAN BATU TIGA,217,178,395
SELANGOR,PPD KLANG,BBB0026,SK (2) JALAN BATU TIGA,91,67,158
SELANGOR,PPD KLANG,BBB0027,SK CONVENT (1) (M),0,416,416
SELANGOR,PPD KLANG,BBB0028,SK CONVENT (2) (M),0,400,400
SELANGOR,PPD KLANG,BBB0029,SK LA SALLE,415,0,415
SELANGOR,PPD KLANG,BBB0030,SK (1) JALAN MERU,184,123,307
SELANGOR,PPD KLANG,BBB0031,SK (2) JALAN MERU,120,117,237
SELANGOR,PPD KLANG,BBB0032,SK METHODIST (M),577,359,936
SELANGOR,PPD KLANG,BBB0033,SK PEREMPUAN METHODIST,0,869,869
SELANGOR,PPD KLANG,BBB0034,SK TENGKU BENDAHARA AZMAN (1),183,138,321
SELANGOR,PPD KLANG,BBB0035,SK TENGKU BENDAHARA AZMAN (2),124,96,220
SELANGOR,PPD KLANG,BBB0036,SK PEREMPUAN BUKIT KUDA,48,270,318
SELANGOR,PPD KLANG,BBB0037,SK (1) SIMPANG LIMA,372,266,638
SELANGOR,PPD KLANG,BBB0038,SK (2) SIMPANG LIMA,256,194,450
SELANGOR,PPD KLANG,BBB0039,SK ST ANNE'S CONVENT,0,452,452
SELANGOR,PPD KLANG,BBC0040,SJK(C) PEREMPUAN,1075,945,2020
SELANGOR,PPD KLANG,BBC0041,SJK(C) CHUEN MIN,376,346,722
SELANGOR,PPD KLANG,BBC0042,SJK(C) CHUNG HUA,1178,1108,2286
SELANGOR,PPD KLANG,BBC0043,SJK(C) HIN HUA,1391,1383,2774
SELANGOR,PPD KLANG,BBC0044,SJK(C) HWA LIEN,146,172,318
SELANGOR,PPD KLANG,BBC0045,SJK(C) KENG CHEE,71,60,131
SELANGOR,PPD KLANG,BBC0046,SJK(C) KHE BENG,632,676,1308
SELANGOR,PPD KLANG,BBC0047,SJK(C) KONG HOE,599,559,1158
SELANGOR,PPD KLANG,BBC0048,SJK(C) LEE MIN,65,56,121
SELANGOR,PPD KLANG,BBC0049,SJK(C) PANDAMARAN 'A',641,643,1284
SELANGOR,PPD KLANG,BBC0050,SJK(C) PANDAMARAN 'B',1296,1178,2474
SELANGOR,PPD KLANG,BBC0051,SJK(C) PIN HWA (1),1010,995,2005
SELANGOR,PPD KLANG,BBC0052,SJK(C) PUI YING,843,807,1650
SELANGOR,PPD KLANG,BBC0053,SJK(C) SIN BIN,81,64,145
SELANGOR,PPD KLANG,BBC0054,SJK(C) SOO JIN,474,494,968
SELANGOR,PPD KLANG,BBC0055,SJK(C) TIONG HUA KOK BIN,127,150,277
SELANGOR,PPD KLANG,BBC0056,SJK(C) TSHING NIAN,803,715,1518
SELANGOR,PPD KLANG,BBC0057,SJK(C) WU TECK,254,192,446
SELANGOR,PPD KLANG,BBC0058,SJK(C) YING WAH,182,193,375
SELANGOR,PPD KLANG,BBC0059,SJK(C) PIN HWA (2),532,522,1054
SELANGOR,PPD KLANG,BBC0060,SJK(C) TAMAN RASHNA,1130,1093,2223
SELANGOR,PPD KLANG,BBD0060,SJK(T) LADANG BATU AMPAT,331,325,656
SELANGOR,PPD KLANG,BBD0061,SJK(T) LADANG BRAFFERTON,20,14,34
SELANGOR,PPD KLANG,BBD0062,SJK(T) LADANG BUKIT RAJAH,69,55,124
SELANGOR,PPD KLANG,BBD0072,SJK(T) LADANG EMERALD,272,290,562
SELANGOR,PPD KLANG,BBD0074,SJK(T) LADANG HIGHLANDS,423,338,761
SELANGOR,PPD KLANG,BBD0075,SJK(T) LADANG JALAN ACOB,105,103,208
SELANGOR,PPD KLANG,BBD0076,SJK(T) JALAN TEPI SUNGAI,34,49,83
SELANGOR,PPD KLANG,BBD0077,SJK(T) PERSIARAN RAJA MUDA MUSA,466,454,920
SELANGOR,PPD KLANG,BBD0078,SJK(T) JALAN MERU,298,291,589
SELANGOR,PPD KLANG,BBD0079,SJK(T) METHODIST,470,487,957
SELANGOR,PPD KLANG,BBD0084,SJK(T) SIMPANG LIMA,1262,1202,2464
SELANGOR,PPD KLANG,BBD0092,SJK(T) LDG VALLAMBROSA,313,312,625
SELANGOR,PPD KLANG,BBD8464,SJK(T) LADANG NORTH HUMMOCK,104,125,229
SELANGOR,PPD KLANG,BEA0091,SMK RAJA MAHADI,1155,1085,2240
SELANGOR,PPD KLANG,BEA0092,SMK RAJA LUMU,662,460,1122
SELANGOR,PPD KLANG,BEA0093,SMK TENGKU AMPUAN RAHIMAH,966,1003,1969
SELANGOR,PPD KLANG,BEA0094,SMK TENGKU AMPUAN JEMAAH,1296,999,2295
SELANGOR,PPD KLANG,BEA0095,SMK TENGKU IDRIS SHAH,1798,475,2273
SELANGOR,PPD KLANG,BEA0096,SMK SULTAN ABDUL SAMAD,655,243,898
SELANGOR,PPD KLANG,BEA0097,SMK PULAU INDAH,550,508,1058
SELANGOR,PPD KLANG,BEA0099,SMK SRI ISTANA,379,337,716
SELANGOR,PPD KLANG,BEA0100,SMK RANTAU PANJANG,1331,1332,2663
SELANGOR,PPD KLANG,BEA0101,SMK (P) KAPAR,0,2050,2050
SELANGOR,PPD KLANG,BEA0102,SMK PENDAMARAN JAYA,874,809,1683
SELANGOR,PPD KLANG,BEA0103,SMK TELOK GADONG,1167,1096,2263
SELANGOR,PPD KLANG,BEA0104,SMK SRI ANDALAS,1125,1044,2169
SELANGOR,PPD KLANG,BEA0105,SMK JALAN KEBUN,1467,1462,2929
SELANGOR,PPD KLANG,BEA0106,SMK KAMPUNG JAWA,1093,930,2023
SELANGOR,PPD KLANG,BEA0107,SMK TAMAN  KLANG UTAMA,804,809,1613
SELANGOR,PPD KLANG,BEA0108,SMK KOTA KEMUNING,1481,1519,3000
SELANGOR,PPD KLANG,BEA0109,SMK BANDAR BARU SULTAN SULEIMAN,597,527,1124
SELANGOR,PPD KLANG,BEA0110,SMK SUNGAI KAPAR INDAH,1311,1470,2781
SELANGOR,PPD KLANG,BEA0111,SMK SHAHBANDARAYA,891,1044,1935
SELANGOR,PPD KLANG,BEA0112,SMK BATU UNJUR,1305,1070,2375
SELANGOR,PPD KLANG,BEA0113,SEKOLAH MENENGAH KEBANGSAAN BUKIT TINGGI KLANG,208,204,412
SELANGOR,PPD KLANG,BEB0099,SMK METHODIST (ACS),1213,124,1337
SELANGOR,PPD KLANG,BEB0100,SMJK CHUNG HWA,593,581,1174
SELANGOR,PPD KLANG,BEB0101,SMK CONVENT,0,1307,1307
SELANGOR,PPD KLANG,BEB0102,SMK TINGGI KLANG,1533,230,1763
SELANGOR,PPD KLANG,BEB0103,SMJK KWANG HUA,1676,1792,3468
SELANGOR,PPD KLANG,BEB0104,SMK LA SALLE,1056,8,1064
SELANGOR,PPD KLANG,BEB0105,SMK (P) METHODIST,0,1668,1668
SELANGOR,PPD KLANG,BEB0106,SMK (P) BUKIT KUDA,0,1171,1171
SELANGOR,PPD KLANG,BEB0108,SMK DATO HAMZAH,1188,172,1360
SELANGOR,PPD KLANG,BEB0109,SMK (P) RAJA ZARINA,0,2075,2075
SELANGOR,PPD KLANG,BEB0110,SMK MERU,2374,2053,4427
SELANGOR,PPD KLANG,BEB0111,SMK PULAU KETAM,217,228,445
SELANGOR,PPD KLANG,BFT0001,SAMT SULTAN HISAMUDDIN,505,800,1305
SELANGOR,PPD KLANG,BFT0002,SAM HISAMUDDIN,375,480,855
SELANGOR,PPD KLANG,BFT0003,SAM NURUL IMAN,293,288,581
SELANGOR,PPD KLANG,BKE0001,KOLEJ VOKASIONAL KLANG,524,102,626
SELANGOR,PPD KLANG,BRA0001,KOLEJ ISLAM SULTAN ALAM SHAH (SMBP),362,416,778
SELANGOR,PPD KUALA LANGAT,BBA1002,SK SUNGAI BUAYA,310,263,573
SELANGOR,PPD KUALA LANGAT,BBA1003,SK BANDAR,158,160,318
SELANGOR,PPD KUALA LANGAT,BBA1004,SK SUNGAI MANGGIS,216,201,417
SELANGOR,PPD KUALA LANGAT,BBA1005,SK OLAK LEMPIT,456,419,875
SELANGOR,PPD KUALA LANGAT,BBA1006,SK LABOHAN DAGANG,295,276,571
SELANGOR,PPD KUALA LANGAT,BBA1007,SK BKT CHANGGANG,495,517,1012
SELANGOR,PPD KUALA LANGAT,BBA1008,SK JENJAROM,568,516,1084
SELANGOR,PPD KUALA LANGAT,BBA1009,SK TELOK PANGLIMA GARANG,612,561,1173
SELANGOR,PPD KUALA LANGAT,BBA1010,SK KEBUN BAHARU,888,887,1775
SELANGOR,PPD KUALA LANGAT,BBA1011,SK SIJANGKANG,752,694,1446
SELANGOR,PPD KUALA LANGAT,BBA1012,SK SG  BUMBUN (A),87,83,170
SELANGOR,PPD KUALA LANGAT,BBA1013,SK SUNGAI JUDAH,89,69,158
SELANGOR,PPD KUALA LANGAT,BBA1014,SK BUKIT TADOM,41,51,92
SELANGOR,PPD KUALA LANGAT,BBA1015,SK SERI CHEDING,182,150,332
SELANGOR,PPD KUALA LANGAT,BBA1016,SK (ASLI) BKT CHEDING,68,74,142
SELANGOR,PPD KUALA LANGAT,BBA1023,SK TG SEPAT,309,267,576
SELANGOR,PPD KUALA LANGAT,BBA1024,SK BATU LAUT,198,226,424
SELANGOR,PPD KUALA LANGAT,BBA1025,SK KAMPONG ENDAH,168,137,305
SELANGOR,PPD KUALA LANGAT,BBA1026,SK MORIB,144,130,274
SELANGOR,PPD KUALA LANGAT,BBA1027,SK KANCHONG DARAT,614,503,1117
SELANGOR,PPD KUALA LANGAT,BBA1028,SK SG LANG,228,249,477
SELANGOR,PPD KUALA LANGAT,BBA1029,SK SERI LANANG,209,183,392
SELANGOR,PPD KUALA LANGAT,BBA1030,SK PERMATANG PASIR,76,83,159
SELANGOR,PPD KUALA LANGAT,BBA1031,SK SG KELAMBU,122,141,263
SELANGOR,PPD KUALA LANGAT,BBA1032,SK KAMPUNG MEDAN,413,414,827
SELANGOR,PPD KUALA LANGAT,BBA1033,SK JALAN TANJUNG,413,405,818
SELANGOR,PPD KUALA LANGAT,BBA1034,SK KANCHONG TENGAH,94,90,184
SELANGOR,PPD KUALA LANGAT,BBA1035,SK SIJANGKANG JAYA,357,339,696
SELANGOR,PPD KUALA LANGAT,BBA1036,SK RTB BUKIT CHANGGANG,552,521,1073
SELANGOR,PPD KUALA LANGAT,BBA1037,SK JUGRA,482,464,946
SELANGOR,PPD KUALA LANGAT,BBA1038,SK BANDAR BANTING,403,399,802
SELANGOR,PPD KUALA LANGAT,BBA1039,SK (ASLI) BUKIT KEMANDOL,106,92,198
SELANGOR,PPD KUALA LANGAT,BBA9207,SK KAMPONG BUSUT ASLI,23,19,42
SELANGOR,PPD KUALA LANGAT,BBB1031,SK METHODIST,194,183,377
SELANGOR,PPD KUALA LANGAT,BBB1032,SK SRI LANGAT (INTEG),555,521,1076
SELANGOR,PPD KUALA LANGAT,BBC1035,SJK(C) CHOONG HUA,653,592,1245
SELANGOR,PPD KUALA LANGAT,BBC1036,SJK(C) JENJAROM,855,777,1632
SELANGOR,PPD KUALA LANGAT,BBC1037,SJK(C) KAH WAH,205,196,401
SELANGOR,PPD KUALA LANGAT,BBC1038,SJK(C) PENG MING,235,199,434
SELANGOR,PPD KUALA LANGAT,BBC1040,SJK(C) SIMPANG MORIB,86,76,162
SELANGOR,PPD KUALA LANGAT,BBC1041,SJK(C) TANJONG SEPAT,364,367,731
SELANGOR,PPD KUALA LANGAT,BBC1043,SJK(C) TIONG NAM,130,118,248
SELANGOR,PPD KUALA LANGAT,BBD1047,SJK(T) SG MANGGIS,153,141,294
SELANGOR,PPD KUALA LANGAT,BBD1053,SJK(T) LDG GADONG,57,46,103
SELANGOR,PPD KUALA LANGAT,BBD1054,SJK(T) LDG JUGRA,116,95,211
SELANGOR,PPD KUALA LANGAT,BBD1055,SJK(T) JENJAROM,98,116,214
SELANGOR,PPD KUALA LANGAT,BBD1058,SJK(T) SIMPANG MORIB,78,84,162
SELANGOR,PPD KUALA LANGAT,BBD1060,SJK(T) SUNGAI SEDU,46,29,75
SELANGOR,PPD KUALA LANGAT,BBD1061,SJK(T) SUNGAI BUAYA,72,69,141
SELANGOR,PPD KUALA LANGAT,BBD1062,SJK(T) TELOK PANGLIMA GARANG,304,321,625
SELANGOR,PPD KUALA LANGAT,BBD1063,SJK(T) PUSAT TELOK DATOK,290,338,628
SELANGOR,PPD KUALA LANGAT,BBD1065,SJK(T) LADANG TUMBUK,65,55,120
SELANGOR,PPD KUALA LANGAT,BBD1066,SJK(T) PULAU CAREY SELATAN,19,16,35
SELANGOR,PPD KUALA LANGAT,BBD1067,SJK(T) PULAU CAREY BARAT,41,44,85
SELANGOR,PPD KUALA LANGAT,BBD1068,SJK(T) PULAU CAREY TIMUR,17,14,31
SELANGOR,PPD KUALA LANGAT,BEA1064,SMK JENJAROM,742,787,1529
SELANGOR,PPD KUALA LANGAT,BEA1065,SMK JUGRA,860,861,1721
SELANGOR,PPD KUALA LANGAT,BEA1066,SMK TELOK DATOK,585,728,1313
SELANGOR,PPD KUALA LANGAT,BEA1068,SMK BATU LAUT,329,296,625
SELANGOR,PPD KUALA LANGAT,BEA1069,SMK TELOK PANGLIMA GARANG,1493,1527,3020
SELANGOR,PPD KUALA LANGAT,BEA1070,SMK BUKIT CHANGGANG,864,783,1647
SELANGOR,PPD KUALA LANGAT,BEA1071,SMK BANTING,726,779,1505
SELANGOR,PPD KUALA LANGAT,BEA1072,SMK SIJANGKANG JAYA,1018,926,1944
SELANGOR,PPD KUALA LANGAT,BEA1073,SMK BANDAR BANTING,868,824,1692
SELANGOR,PPD KUALA LANGAT,BEA1074,SEKOLAH MENENGAH SAINS BANTING,405,435,840
SELANGOR,PPD KUALA LANGAT,BEB1069,SMK METHODIST,660,631,1291
SELANGOR,PPD KUALA LANGAT,BEB1070,KOLEJ VOKASIONAL SULTAN ABDUL SAMAD ,43,84,127
SELANGOR,PPD KUALA LANGAT,BEB1072,SMK TANJUNG SEPAT,453,448,901
SELANGOR,PPD KUALA LANGAT,BEB1073,SMK SUNGAI MANGGIS,393,440,833
SELANGOR,PPD KUALA LANGAT,BEB1074,SMK PULAU CAREY,144,114,258
SELANGOR,PPD KUALA LANGAT,BFT1001,SAM UNWANUS SAADAH,339,371,710
SELANGOR,PPD KUALA LANGAT,BFT1002,SAMT TENGKU AMPUAN RAHIMAH,500,620,1120
SELANGOR,PPD KUALA SELANGOR,BBA3001,SK ASSAM JAWA (INTEG),353,393,746
SELANGOR,PPD KUALA SELANGOR,BBA3002,SK BKT BADONG,467,449,916
SELANGOR,PPD KUALA SELANGOR,BBA3003,SK BKT KERAYONG,224,204,428
SELANGOR,PPD KUALA SELANGOR,BBA3004,SK DATO' MAHARAJA LELA,863,797,1660
SELANGOR,PPD KUALA SELANGOR,BBA3005,SK TAMBAK JAWA,175,183,358
SELANGOR,PPD KUALA SELANGOR,BBA3006,SK JERAM,186,190,376
SELANGOR,PPD KUALA SELANGOR,BBA3007,SK JERAM BT 20,355,269,624
SELANGOR,PPD KUALA SELANGOR,BBA3008,SK JAYA SETIA,143,129,272
SELANGOR,PPD KUALA SELANGOR,BBA3009,SK PASANGAN,87,75,162
SELANGOR,PPD KUALA SELANGOR,BBA3010,SK RANTAU PANJANG,198,190,388
SELANGOR,PPD KUALA SELANGOR,BBA3011,SK IJOK,234,266,500
SELANGOR,PPD KUALA SELANGOR,BBA3012,SK TANJUNG KERAMAT,125,100,225
SELANGOR,PPD KUALA SELANGOR,BBA3013,SK BKT BELIMBING,137,136,273
SELANGOR,PPD KUALA SELANGOR,BBA3014,SK KUALA SELANGOR,180,182,362
SELANGOR,PPD KUALA SELANGOR,BBA3015,SK TANJONG KARANG,313,253,566
SELANGOR,PPD KUALA SELANGOR,BBA3016,SK SUNGAI BURONG,235,205,440
SELANGOR,PPD KUALA SELANGOR,BBA3017,SK SRI TIRAM,201,163,364
SELANGOR,PPD KUALA SELANGOR,BBA3018,SK DATO' MANAN (INTEG),311,255,566
SELANGOR,PPD KUALA SELANGOR,BBA3019,SK SERI GAMBUT,84,82,166
SELANGOR,PPD KUALA SELANGOR,BBA3020,SK SUNGAI SIREH,306,244,550
SELANGOR,PPD KUALA SELANGOR,BBA3021,SK PARIT EMPAT,172,153,325
SELANGOR,PPD KUALA SELANGOR,BBA3022,SK PARIT MAHANG,254,260,514
SELANGOR,PPD KUALA SELANGOR,BBA3024,SK JALAN RAJA MUSA,126,110,236
SELANGOR,PPD KUALA SELANGOR,BBA3025,SK SUNGAI TERAP,245,210,455
SELANGOR,PPD KUALA SELANGOR,BBA3026,SK PARIT SERONG,132,113,245
SELANGOR,PPD KUALA SELANGOR,BBA3028,SK SAWAH SEMPADAN,168,161,329
SELANGOR,PPD KUALA SELANGOR,BBA3029,SK BERJAYA,171,167,338
SELANGOR,PPD KUALA SELANGOR,BBA3031,SK BANDAR BARU,643,561,1204
SELANGOR,PPD KUALA SELANGOR,BBA3032,SK BESTARI JAYA,221,210,431
SELANGOR,PPD KUALA SELANGOR,BBA3033,SK PUNCAK ALAM,431,351,782
SELANGOR,PPD KUALA SELANGOR,BBA3034,SK SAUJANA UTAMA IJOK,1586,1533,3119
SELANGOR,PPD KUALA SELANGOR,BBA3035,SK PUNCAK ALAM 2,1157,1102,2259
SELANGOR,PPD KUALA SELANGOR,BBA3036,SK SERI PRISTANA,806,743,1549
SELANGOR,PPD KUALA SELANGOR,BBA3037,SK PUNCAK ALAM 3,602,568,1170
SELANGOR,PPD KUALA SELANGOR,BBA3038,SK DESA AMAN,534,485,1019
SELANGOR,PPD KUALA SELANGOR,BBB3030,SK SULTAN ABDUL AZIZ,86,100,186
SELANGOR,PPD KUALA SELANGOR,BBB3033,"SK BATU 9, JALAN BOMBA",454,444,898
SELANGOR,PPD KUALA SELANGOR,BBC3034,SJK(C) AIK THEE,174,179,353
SELANGOR,PPD KUALA SELANGOR,BBC3035,SJK(C) BAGAN PASIR,45,45,90
SELANGOR,PPD KUALA SELANGOR,BBC3036,SJK(C) CHUNG WAH,182,153,335
SELANGOR,PPD KUALA SELANGOR,BBC3037,SJK(C) IJOK,182,181,363
SELANGOR,PPD KUALA SELANGOR,BBC3038,SJK(C) KHAI TEE,181,149,330
SELANGOR,PPD KUALA SELANGOR,BBC3040,SJK(C) LIAT CHOON,62,57,119
SELANGOR,PPD KUALA SELANGOR,BBC3041,SJK(C) MING TEE,100,108,208
SELANGOR,PPD KUALA SELANGOR,BBC3042,SJK(C) PUI CHI,37,33,70
SELANGOR,PPD KUALA SELANGOR,BBC3043,SJK(C) PUI TEH,33,30,63
SELANGOR,PPD KUALA SELANGOR,BBC3044,SJK(C) TANJONG KARANG,229,212,441
SELANGOR,PPD KUALA SELANGOR,BBC3045,SJK(C) YIT KHWAN,71,69,140
SELANGOR,PPD KUALA SELANGOR,BBC3047,SJK(C) YUK CHIH,110,94,204
SELANGOR,PPD KUALA SELANGOR,BBD3048,SJK(T) BESTARI JAYA,328,323,651
SELANGOR,PPD KUALA SELANGOR,BBD3049,SJK(T) LDG BRAUNSTON,14,24,38
SELANGOR,PPD KUALA SELANGOR,BBD3051,SJK(T) LDG BUKIT CHERAKA,72,89,161
SELANGOR,PPD KUALA SELANGOR,BBD3052,SJK(T) LDG BKT IJOK,3,0,3
SELANGOR,PPD KUALA SELANGOR,BBD3055,SJK(T) LDG COALFIELDS,46,53,99
SELANGOR,PPD KUALA SELANGOR,BBD3056,SJK(T) GHANDIJI,23,40,63
SELANGOR,PPD KUALA SELANGOR,BBD3057,SJK(T) LDG HOPEFUL,5,5,10
SELANGOR,PPD KUALA SELANGOR,BBD3058,SJK(T) LDG KG BARU,10,6,16
SELANGOR,PPD KUALA SELANGOR,BBD3060,SJK(T) LADANG SUNGAI TERAP,18,31,49
SELANGOR,PPD KUALA SELANGOR,BBD3061,SJK(T) LDG KUALA SELANGOR,39,47,86
SELANGOR,PPD KUALA SELANGOR,BBD3064,SJK(T) LDG RAJA MUSA,27,28,55
SELANGOR,PPD KUALA SELANGOR,BBD3065,SJK(T) BUKIT ROTAN BARU,16,10,26
SELANGOR,PPD KUALA SELANGOR,BBD3066,SJK(T) LDG RIVERSIDE,36,34,70
SELANGOR,PPD KUALA SELANGOR,BBD3068,SJK(T) LDG SELANGOR RIVER,50,49,99
SELANGOR,PPD KUALA SELANGOR,BBD3069,SJK(T) LDG SG BULOH,21,11,32
SELANGOR,PPD KUALA SELANGOR,BBD3071,SJK(T) LDG SG RAMBAI,14,25,39
SELANGOR,PPD KUALA SELANGOR,BBD3072,SJK(T) LADANG TUAN MEE,29,24,53
SELANGOR,PPD KUALA SELANGOR,BBD3073,SJK(T) VAGEESAR,284,272,556
SELANGOR,PPD KUALA SELANGOR,BBD5052,SJK(T) LADANG MINYAK,0,1,1
SELANGOR,PPD KUALA SELANGOR,BBD5055,SJK(T) LDG NIGEL GARDNER,30,29,59
SELANGOR,PPD KUALA SELANGOR,BBD5061,SJK(T) LDG MARY,11,5,16
SELANGOR,PPD KUALA SELANGOR,BBD5062,SJK(T) LADANG SG TINGGI,24,27,51
SELANGOR,PPD KUALA SELANGOR,BEA3074,SMK SERI TANJUNG,740,806,1546
SELANGOR,PPD KUALA SELANGOR,BEA3075,SMK DATO HARUN,792,849,1641
SELANGOR,PPD KUALA SELANGOR,BEA3077,SMK RAJA MUDA MUSA,747,741,1488
SELANGOR,PPD KUALA SELANGOR,BEA3078,SMK JERAM,594,618,1212
SELANGOR,PPD KUALA SELANGOR,BEA3079,SMK SG. BURONG,412,351,763
SELANGOR,PPD KUALA SELANGOR,BEA3080,SMK TIRAM JAYA,294,298,592
SELANGOR,PPD KUALA SELANGOR,BEA3081,SMK RANTAU PANJANG,178,164,342
SELANGOR,PPD KUALA SELANGOR,BEA3082,SMK PENGKALAN PERMATANG,470,509,979
SELANGOR,PPD KUALA SELANGOR,BEA3083,SM SAINS KUALA SELANGOR,370,390,760
SELANGOR,PPD KUALA SELANGOR,BEA3084,SMK SAUJANA UTAMA,1340,1315,2655
SELANGOR,PPD KUALA SELANGOR,BEA3085,SMK PUNCAK ALAM,1132,1221,2353
SELANGOR,PPD KUALA SELANGOR,BEA3086,SMK KUALA SELANGOR,341,328,669
SELANGOR,PPD KUALA SELANGOR,BEA3087,SMK BUKIT KUCHING TENGAH,556,474,1030
SELANGOR,PPD KUALA SELANGOR,BEA3088,SEKOLAH MENENGAH KEBANGSAAN PUNCAK ALAM 3,255,235,490
SELANGOR,PPD KUALA SELANGOR,BEB3078,SMK SULTAN ABDUL AZIZ,607,629,1236
SELANGOR,PPD KUALA SELANGOR,BEB3079,SMK SULTAN SULAIMAN SHAH,507,521,1028
SELANGOR,PPD KUALA SELANGOR,BEB3080,SMK SERI DESA,519,492,1011
SELANGOR,PPD KUALA SELANGOR,BFT3001,SAM JERAM,343,551,894
SELANGOR,PPD KUALA SELANGOR,BFT3002,SAM TANJONG KARANG,364,491,855
SELANGOR,PPD KUALA SELANGOR,BHA3001,SM VOKASIONAL KUALA SELANGOR,101,106,207
SELANGOR,PPD KUALA SELANGOR,BRA3001,SMKA KUALA SELANGOR,264,366,630
SELANGOR,PPD PETALING PERDANA,BBA0024,SK TAMAN SRI MUDA,514,460,974
SELANGOR,PPD PETALING PERDANA,BBA8104,SK SS 19 SUBANG JAYA,162,122,284
SELANGOR,PPD PETALING PERDANA,BBA8105,SK SEKSYEN 24,791,686,1477
SELANGOR,PPD PETALING PERDANA,BBA8202,SK SUBANG,1065,1055,2120
SELANGOR,PPD PETALING PERDANA,BBA8203,SK PADANG JAWA,630,566,1196
SELANGOR,PPD PETALING PERDANA,BBA8204,SK PUCHONG,334,329,663
SELANGOR,PPD PETALING PERDANA,BBA8205,SK SERDANG,527,464,991
SELANGOR,PPD PETALING PERDANA,BBA8212,SK SUBANG JAYA,443,450,893
SELANGOR,PPD PETALING PERDANA,BBA8213,SK RAJA MUDA (INTEG),777,744,1521
SELANGOR,PPD PETALING PERDANA,BBA8216,SK SEKSYEN ENAM,378,323,701
SELANGOR,PPD PETALING PERDANA,BBA8217,SK SRI SUBANG JAYA,206,197,403
SELANGOR,PPD PETALING PERDANA,BBA8218,SK SRI SERDANG,679,614,1293
SELANGOR,PPD PETALING PERDANA,BBA8219,SK SEKSYEN 17 SHAH ALAM,567,545,1112
SELANGOR,PPD PETALING PERDANA,BBA8222,SK SEKSYEN 19,758,648,1406
SELANGOR,PPD PETALING PERDANA,BBA8223,SK HICOM,663,600,1263
SELANGOR,PPD PETALING PERDANA,BBA8224,SK SEKSYEN 18,496,470,966
SELANGOR,PPD PETALING PERDANA,BBA8225,SK SEKSYEN 20,1066,946,2012
SELANGOR,PPD PETALING PERDANA,BBA8227,SK SEAFIELD,369,356,725
SELANGOR,PPD PETALING PERDANA,BBA8228,SK TAMAN UNIVERSITI,1064,881,1945
