Negeri,PPD,KodSekolah,NamaSekolah,CountOfKPUtama
SELANGOR,PPD PETALING UTAMA,BBB8314,SK SRI PETALING,64
SELANGOR,PPD PETALING UTAMA,BBB8316,SK SUNGEI WAY,35
SELANGOR,PPD PETALING UTAMA,BBC8401,SJK(C) CHEN MOH,73
SELANGOR,PPD PETALING UTAMA,BBC8402,SJK(C) DAMANSARA,103
SELANGOR,PPD PETALING UTAMA,BBC8408,SJK(C) SUNGAI WAY,61
SELANGOR,PPD PETALING UTAMA,BBC8409,SJK(C) SUNGAI BULOH,75
SELANGOR,PPD PETALING UTAMA,BBC8411,SJK(C) YUK CHAI,155
SELANGOR,PPD PETALING UTAMA,BBC8412,SJK(C) YUK CHYUN,52
SELANGOR,PPD PETALING UTAMA,BBC8413,SJK(C) PUAY CHAI,88
SELANGOR,PPD PETALING UTAMA,BBC8415,SJK(C) PUAY CHAI 2,97
SELANGOR,PPD PETALING UTAMA,BBC8418,SJK(C) DESA JAYA 2,89
SELANGOR,PPD PETALING UTAMA,BBC8420,SJK(C) CHUNG HWA DAMANSARA,24
SELANGOR,PPD PETALING UTAMA,BBD8452,SJK(T) LDG EFFINGHAM,31
SELANGOR,PPD PETALING UTAMA,BBD8456,SJK(T) RRI SUNGAI BULOH,26
SELANGOR,PPD PETALING UTAMA,BBD8458,SJK(T) VIVEKANANDA,61
SELANGOR,PPD PETALING UTAMA,BBD8467,SJK(T) SEAPORT,17
SELANGOR,PPD PETALING UTAMA,BEA8602,SMK SRI PERMATA,81
SELANGOR,PPD PETALING UTAMA,BEA8607,SMK TAMAN DATO'  HARUN,114
SELANGOR,PPD PETALING UTAMA,BEA8608,SMK DAMANSARA JAYA,93
SELANGOR,PPD PETALING UTAMA,BEA8611,SMK DAMANSARA UTAMA,58
SELANGOR,PPD PETALING UTAMA,BEA8613,SMK TAMAN MEDAN,95
SELANGOR,PPD PETALING UTAMA,BEA8615,SMK KELANA JAYA,57
SELANGOR,PPD PETALING UTAMA,BEA8624,SMK SRI UTAMA,44
SELANGOR,PPD PETALING UTAMA,BEA8631,SMK BANDAR UTAMA,55
SELANGOR,PPD PETALING UTAMA,BEA8638,SMK SEKSYEN 10 KOTA DAMANSARA,124
SELANGOR,PPD PETALING UTAMA,BEA8640,SMK TROPICANA,43
SELANGOR,PPD PETALING UTAMA,BEA8641,SMK BANDAR SRI DAMANSARA 2,76
SELANGOR,PPD PETALING UTAMA,BEA8643,SMK BANDAR UTAMA DAMANSARA 3,78
SELANGOR,PPD PETALING UTAMA,BEA8644,SMK BANDAR UTAMA DAMANSARA (4),61
SELANGOR,PPD PETALING UTAMA,BEA8652,SMK DAMANSARA DAMAI 1,107
SELANGOR,PPD PETALING UTAMA,BEA8655,SMK SEKSYEN 4 KOTA DAMANSARA,101
SELANGOR,PPD PETALING UTAMA,BEA8658,SMK BANDAR UTAMA DAMANSARA (2),49
SELANGOR,PPD PETALING UTAMA,BEA8659,SMK BANDAR SRI DAMANSARA 1,96
SELANGOR,PPD PETALING UTAMA,BEA8661,SMK LEMBAH SUBANG,45
SELANGOR,PPD PETALING UTAMA,BEA8666,"SMK SEKSYEN 8, KOTA DAMANSARA",53
SELANGOR,PPD PETALING UTAMA,BEA8669,SEKOLAH MENENGAH KEBANGSAAN PETALING JAYA,52
SELANGOR,PPD PETALING UTAMA,BEB8651,SMK ASSUNTA,99
SELANGOR,PPD PETALING UTAMA,BEB8652,SMK (L) BUKIT BINTANG,53
SELANGOR,PPD PETALING UTAMA,BEB8653,SMK KATHOLIK (M),159
SELANGOR,PPD PETALING UTAMA,BEB8654,"SMK LA SALLE,PJ",96
SELANGOR,PPD PETALING UTAMA,BEB8655,SMK (P) SRI AMAN,72
SELANGOR,PPD PETALING UTAMA,BEB8656,SMK TAMAN SEA,108
SELANGOR,PPD PETALING UTAMA,BEB8657,SMK SULTAN ABDUL SAMAD,80
SELANGOR,PPD PETALING UTAMA,BEB8658,SMK (P) TMN PETALING,68
SELANGOR,PPD SABAK BERNAM,BBA6001,SK SERI MAKMUR,98
SELANGOR,PPD SABAK BERNAM,BBA6002,SK SG HJ DORANI,34
SELANGOR,PPD SABAK BERNAM,BBA6003,SK SIMPANG LIMA,41
SELANGOR,PPD SABAK BERNAM,BBA6004,SK PANCHANG PEDENA,22
SELANGOR,PPD SABAK BERNAM,BBA6005,SK SG LIMAU,33
SELANGOR,PPD SABAK BERNAM,BBA6006,SK PARIT 4,20
SELANGOR,PPD SABAK BERNAM,BBA6007,SK PARIT 6,34
SELANGOR,PPD SABAK BERNAM,BBA6008,SK SERI BAHAGIA,33
SELANGOR,PPD SABAK BERNAM,BBA6009,SK TOK KHALIFAH,31
SELANGOR,PPD SABAK BERNAM,BBA6010,SK BAGAN TERAP,31
SELANGOR,PPD SABAK BERNAM,BBA6011,SK PARIT 13,17
SELANGOR,PPD SABAK BERNAM,BBA6012,SK LOBOK PUSING,14
SELANGOR,PPD SABAK BERNAM,BBA6013,SK DOKTOR ABDUL LATIFF,46
SELANGOR,PPD SABAK BERNAM,BBA6014,SK BATU 38,52
SELANGOR,PPD SABAK BERNAM,BBA6015,SK KG BAHARU,15
SELANGOR,PPD SABAK BERNAM,BBA6016,SK TUN DOKTOR ISMAIL,26
SELANGOR,PPD SABAK BERNAM,BBA6017,SK SEKENDI,21
SELANGOR,PPD SABAK BERNAM,BBA6018,SK SIMPANG 4 BNO,20
SELANGOR,PPD SABAK BERNAM,BBA6019,SK PARIT BAHARU,30
SELANGOR,PPD SABAK BERNAM,BBA6020,SK SUNGAI TENGAR,18
SELANGOR,PPD SABAK BERNAM,BBA6021,SK SERI MAWAR,25
SELANGOR,PPD SABAK BERNAM,BBA6022,SK TEBOK JAWA,20
SELANGOR,PPD SABAK BERNAM,BBA6023,SK SAPINTAS,19
SELANGOR,PPD SABAK BERNAM,BBA6024,SK KAMPONG BANTING,24
SELANGOR,PPD SABAK BERNAM,BBA6025,SK TANJONG JAWA,13
SELANGOR,PPD SABAK BERNAM,BBA6026,SK TELUK RU,26
SELANGOR,PPD SABAK BERNAM,BBA6027,SK SERI CEMPAKA,16
SELANGOR,PPD SABAK BERNAM,BBA6028,SK SG LEMAN,46
SELANGOR,PPD SABAK BERNAM,BBA6029,SK PARIT 9,32
SELANGOR,PPD SABAK BERNAM,BBA6030,SK PASIR PANJANG,38
SELANGOR,PPD SABAK BERNAM,BBA6031,SK SUNGAI NIBONG,27
SELANGOR,PPD SABAK BERNAM,BBA6032,SK BINJAI JAYA,45
SELANGOR,PPD SABAK BERNAM,BBB6028,SK KHIR JOHARI,36
SELANGOR,PPD SABAK BERNAM,BBB6029,SK SERI UTAMA,59
SELANGOR,PPD SABAK BERNAM,BBB6030,SK SERI SEKINCHAN,41
SELANGOR,PPD SABAK BERNAM,BBC6030,SJK(C) CHEONG HUA,16
SELANGOR,PPD SABAK BERNAM,BBC6031,SJK(C) HAI PING,12
SELANGOR,PPD SABAK BERNAM,BBC6032,SJK(C) LUM HUA,24
SELANGOR,PPD SABAK BERNAM,BBC6033,SJK(C) MOON TECK,12
SELANGOR,PPD SABAK BERNAM,BBC6034,SJK(C) PHOOI TEE,13
SELANGOR,PPD SABAK BERNAM,BBC6035,SJK(C) POAY CHNEH,13
SELANGOR,PPD SABAK BERNAM,BBC6036,SJK(C) SIN MIN,45
SELANGOR,PPD SABAK BERNAM,BBC6037,SJK(C) PHOOI MIN,10
SELANGOR,PPD SABAK BERNAM,BBC6038,SJK(C) YOKE KUAN,51
SELANGOR,PPD SABAK BERNAM,BBC6039,SJK(C) KIAN SIT,14
SELANGOR,PPD SABAK BERNAM,BBD6039,SJK(T) LADANG SUNGAI BERNAM,7
SELANGOR,PPD SABAK BERNAM,BBD6040,SJK(T) LADANG SABAK BERNAM,13
SELANGOR,PPD SABAK BERNAM,BEA6041,SMK UNGKU AZIZ,104
SELANGOR,PPD SABAK BERNAM,BEA6042,SMK MUNSHI ABDULLAH,83
SELANGOR,PPD SABAK BERNAM,BEA6043,SMK SUNGAI BESAR,159
SELANGOR,PPD SABAK BERNAM,BEA6044,SMK BAGAN TERAP,80
SELANGOR,PPD SABAK BERNAM,BEA6045,SMKA SIMPANG LIMA,63
SELANGOR,PPD SABAK BERNAM,BEA6601,SMK DATO MUSTAFFA,91
SELANGOR,PPD SABAK BERNAM,BEB6044,SMK TUNKU ABDUL RAHMAN PUTRA,94
SELANGOR,PPD SABAK BERNAM,BEB6046,SMK SERI BEDENA,101
SELANGOR,PPD SABAK BERNAM,BEB6047,SMK YOKE KUAN,108
SELANGOR,PPD SABAK BERNAM,BFT6001,SAM PARIT BARU,39
SELANGOR,PPD SABAK BERNAM,BFT6002,SAM BAGAN TERAP,37
SELANGOR,PPD SABAK BERNAM,BFT6003,SAM SUNGAI HAJI DORANI,43
SELANGOR,PPD SABAK BERNAM,BFT6004,SAM PASIR PANJANG,49
SELANGOR,PPD SABAK BERNAM,BFT6005,SAM MUHAMMADIAH,60
SELANGOR,PPD SABAK BERNAM,BFT6006,SAM TENGKU AMPUAN JEMAAH,41
SELANGOR,PPD SABAK BERNAM,BFT6007,SAMT SULTAN SALAHUDDIN ABD AZIZ SHAH,75
SELANGOR,PPD SABAK BERNAM,BRA6001,SBPI SABAK BERNAM,53
SELANGOR,PPD SEPANG,BBA9201,SK SUNGAI RAWANG,48
SELANGOR,PPD SEPANG,BBA9202,SK BKT BANGKONG,17
SELANGOR,PPD SEPANG,BBA9203,SK SG PELEK,30
SELANGOR,PPD SEPANG,BBA9204,SK SALAK,57
SELANGOR,PPD SEPANG,BBA9205,SK KG BAHARU LANJUT,39
SELANGOR,PPD SEPANG,BBA9208,SK JENDERAM,26
SELANGOR,PPD SEPANG,BBA9209,SK JENDERAM HILIR,32
SELANGOR,PPD SEPANG,BBA9210,SK DENGKIL,67
SELANGOR,PPD SEPANG,BBA9211,SK SG MERAB LUAR,51
SELANGOR,PPD SEPANG,BBA9212,SK DESA PUTRA,53
SELANGOR,PPD SEPANG,BBA9213,SK DATO' ABU BAKAR BAGINDA,49
SELANGOR,PPD SEPANG,BBA9214,SK PULAU MERANTI,38
SELANGOR,PPD SEPANG,BBA9215,SK SG MELUT (ASLI),14
SELANGOR,PPD SEPANG,BBA9216,SK BKT TAMPOI (ASLI),20
SELANGOR,PPD SEPANG,BBA9217,SK BANDAR BARU SALAK TINGGI,70
SELANGOR,PPD SEPANG,BBA9220,SK TAMAN SEROJA,68
SELANGOR,PPD SEPANG,BBA9221,SK TAMAN PANTAI SEPANG PUTRA,59
SELANGOR,PPD SEPANG,BBA9224,SK TAMAN PUTRA PERDANA,122
SELANGOR,PPD SEPANG,BBA9225,SK KOTA WARISAN,85
SELANGOR,PPD SEPANG,BBA9226,SK CYBERJAYA,87
SELANGOR,PPD SEPANG,BBA9227,SK KLIA,64
SELANGOR,PPD SEPANG,BBA9228,SK TAMAN PUTRA PERDANA 2,93
SELANGOR,PPD SEPANG,BBA9229,SEKOLAH KEBANGSAAN DESA PINGGIRAN PUTRA,30
SELANGOR,PPD SEPANG,BBB9301,SK METHODIST (INTEG) (M),26
SELANGOR,PPD SEPANG,BBC9401,SJK(C) CHIO CHIAO,16
SELANGOR,PPD SEPANG,BBC9402,SJK(C) DENGKIL,38
SELANGOR,PPD SEPANG,BBC9403,SJK(C) SEPANG,18
SELANGOR,PPD SEPANG,BBC9404,SJK(C) SIN MING,70
SELANGOR,PPD SEPANG,BBC9405,SJK(C) TCHE MIN,26
SELANGOR,PPD SEPANG,BBC9406,SJK(C) WAH LIAN,31
SELANGOR,PPD SEPANG,BBD9452,SJK(T) LADANG AMPAR TENANG,11
SELANGOR,PPD SEPANG,BBD9453,SJK(T) LADANG BUTE,10
SELANGOR,PPD SEPANG,BBD9454,SJK(T) BANDAR BARU SALAK TINGGI,26
SELANGOR,PPD SEPANG,BBD9455,SJK(T) DENGKIL,24
SELANGOR,PPD SEPANG,BBD9457,SJK(T) TAMAN PERMATA,18
SELANGOR,PPD SEPANG,BBD9458,SJK(T) SEPANG,27
SELANGOR,PPD SEPANG,BBD9460,SJK(T) TELUK MERBAU,32
SELANGOR,PPD SEPANG,BBD9461,SJK(T) LDG WEST COUNTRY 'BARAT',12
SELANGOR,PPD SEPANG,BEA9601,SMK SUNGAI RAWANG,49
SELANGOR,PPD SEPANG,BEA9602,SMK SERI SEPANG,117
SELANGOR,PPD SEPANG,BEA9604,SMK BANDAR BARU SALAK TINGGI,151
SELANGOR,PPD SEPANG,BEA9607,SMK SERI PUTERI (SMBP),73
SELANGOR,PPD SEPANG,BEA9609,SMK CYBERJAYA,62
SELANGOR,PPD SEPANG,BEA9610,SMK PANTAI SEPANG PUTRA,55
SELANGOR,PPD SEPANG,BEA9611,SMK PUTRA PERDANA,142
SELANGOR,PPD SEPANG,BEA9612,SMK DATO' ABU BAKAR BAGINDA,100
SELANGOR,PPD SEPANG,BEB9651,SMK SUNGAI PELEK,116
SELANGOR,PPD SEPANG,BEB9701,SMK DENGKIL,110
SELANGOR,PPD SEPANG,BFT9001,SAM SUNGAI MERAB LUAR,39
SELANGOR,PPD SEPANG,BFT9002,SAM BANDAR BARU SALAK TINGGI,57
SELANGOR,PPD SEPANG,BHA9001,SM VOKASIONAL SEPANG,73
